0,0.7532,0.7644,0.7616,0.7552,0.7688,0.774
1,0.7556,0.7568,0.7624,0.7524,0.762,0.7744
2,0.7464,0.762,0.7612,0.766,0.7648,0.7636
4,0.7472,0.7644,0.7604,0.7632,0.7608,0.7612
5,0.7512,0.7584,0.7584,0.7616,0.7684,0.7756
