0,0.3728,0.3756,0.3876,0.3984,0.4064,0.408,0.3092,0.4528
1,0.3736,0.3896,0.3968,0.3964,0.4052,0.408,0.316,0.4568
2,0.3772,0.3784,0.3828,0.3852,0.4112,0.4008,0.3232,0.4468
3,0.3632,0.378,0.3912,0.3968,0.4116,0.418,0.3204,0.4476
4,0.3652,0.3848,0.3904,0.3916,0.4056,0.4036,0.3148,0.4548
5,0.376,0.3772,0.3908,0.3912,0.4016,0.3984,0.32,0.4488
6,0.3816,0.3696,0.392,0.3924,0.4012,0.3924,0.3096,0.462
7,0.3764,0.396,0.3884,0.3948,0.402,0.4128,0.3184,0.4472
8,0.3704,0.39,0.3868,0.3964,0.4144,0.4148,0.3104,0.4492
9,0.3756,0.3932,0.3892,0.398,0.408,0.3916,0.3176,0.4424
