0,0.7212,0.7308,0.7348,0.738,0.7432,0.7496,0.688,0.8012
1,0.72,0.73,0.7448,0.7388,0.7456,0.7488,0.6968,0.7976
2,0.7384,0.7348,0.7388,0.7336,0.7484,0.7384,0.682,0.8004
3,0.7292,0.7488,0.7436,0.7492,0.7432,0.7464,0.6872,0.7916
4,0.7396,0.7328,0.7408,0.7488,0.738,0.7524,0.6864,0.802
5,0.7364,0.734,0.7324,0.7484,0.7544,0.7476,0.692,0.794
6,0.7356,0.7376,0.7452,0.7352,0.7452,0.7476,0.6872,0.8024
7,0.7332,0.7364,0.7372,0.7436,0.7508,0.7484,0.684,0.7976
8,0.7388,0.7416,0.7388,0.7452,0.7508,0.7424,0.6848,0.7916
9,0.7324,0.7352,0.7352,0.7464,0.7284,0.748,0.6768,0.81
