0,0.72,0.7412,0.7404,0.7376,0.7444,0.7428,0.688,0.8012
1,0.7204,0.73,0.7428,0.74,0.7464,0.7492,0.6968,0.7976
2,0.7336,0.7352,0.7448,0.736,0.7468,0.7336,0.682,0.8004
3,0.7288,0.75,0.738,0.746,0.748,0.7376,0.6872,0.7916
4,0.7308,0.736,0.7384,0.7456,0.7436,0.7476,0.6864,0.802
5,0.7268,0.7244,0.734,0.748,0.758,0.7408,0.692,0.794
6,0.7384,0.742,0.744,0.7344,0.7448,0.7496,0.6872,0.8024
7,0.73,0.7396,0.732,0.7432,0.7504,0.7492,0.684,0.7976
8,0.7368,0.7408,0.7416,0.7452,0.7552,0.7432,0.6848,0.7916
9,0.7376,0.7344,0.7364,0.74,0.7304,0.7472,0.6768,0.81
