0,0.72,0.7412,0.7408,0.7384,0.7444,0.7432,0.688,0.8012
0,0.7352,0.7528,0.742,0.7568,0.752,0.766,0.688,0.8012
1,0.7284,0.7412,0.7548,0.7584,0.7536,0.7552,0.6968,0.7976
2,0.74,0.7476,0.7516,0.7428,0.752,0.7576,0.682,0.8004
3,0.7376,0.7528,0.7472,0.7596,0.756,0.7592,0.6872,0.7916
4,0.7412,0.7448,0.7488,0.7488,0.7568,0.7592,0.6864,0.802
5,0.7376,0.7476,0.7528,0.76,0.7668,0.7576,0.692,0.794
6,0.7512,0.7512,0.754,0.7492,0.7604,0.7692,0.6872,0.8024
7,0.7412,0.752,0.748,0.7536,0.762,0.7604,0.684,0.7976
8,0.7396,0.7496,0.7556,0.7592,0.7608,0.7628,0.6848,0.7916
9,0.7468,0.7392,0.746,0.7588,0.7456,0.7524,0.6768,0.81
