0,0.7396,0.7436,0.7392,0.7604,0.7648,0.7536,0.7104,0.7988
1,0.744,0.7436,0.7432,0.7524,0.766,0.7516,0.6956,0.8136
2,0.7412,0.744,0.7512,0.7608,0.7612,0.7552,0.6948,0.8048
3,0.748,0.7452,0.7468,0.7608,0.764,0.7608,0.7,0.8032
4,0.7424,0.7452,0.7536,0.7632,0.7628,0.7656,0.7036,0.8016
5,0.7444,0.7528,0.7492,0.76,0.7572,0.7612,0.7068,0.8048
6,0.7388,0.7428,0.7632,0.7616,0.7648,0.7668,0.6928,0.812
7,0.7464,0.7524,0.744,0.7508,0.754,0.7536,0.6972,0.7908
8,0.7392,0.7416,0.7572,0.7568,0.754,0.7724,0.7036,0.8008
9,0.7468,0.7556,0.7524,0.7688,0.7524,0.7584,0.7024,0.8056
